order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
O100000,C17270,P234890,Home,164,15.0%,1,Credit Card,2023-12-23,2023-12-27,West,No,,,139,8,31,60,Female
O100001,C17603,P228204,Grocery,25,0.0%,1,Credit Card,2025-04-03,2025-04-09,South,No,,,25,5,-3,37,Male
O100002,C10860,P213892,Electronics,176,5.0%,1,Credit Card,2024-10-08,2024-10-12,North,No,,,167,7,13,34,Male
O100003,C15390,P208689,Electronics,64,0.0%,1,UPI,2024-09-14,2024-09-20,South,No,,,64,6,2,21,Female
O100004,C15226,P228063,Home,16,15.0%,1,COD,2024-12-21,2024-12-27,East,No,,,14,3,1,39,Male
O100005,C15191,P214062,Beauty,54,10.0%,2,Credit Card,2024-04-14,2024-04-19,South,No,,,97,6,37,35,Female
O100006,C13772,P201363,Electronics,266,0.0%,1,PayPal,2025-05-20,2025-05-25,East,No,,,266,9,23,49,Male
O100007,C13092,P216691,Beauty,10,0.0%,1,Credit Card,2023-09-14,2023-09-18,West,No,,,10,5,0,66,Other
O100008,C15734,P202751,Fashion,7,5.0%,1,Debit Card,2023-10-23,2023-10-29,West,No,,,6,3,-1,37,Female
O100009,C16265,P207782,Grocery,11,0.0%,1,Credit Card,2023-10-31,2023-11-06,South,No,,,11,3,-2,56,Male
O100010,C10466,P217648,Beauty,7,10.0%,1,Debit Card,2024-02-07,2024-02-12,South,No,,,6,2,1,40,Female
O100011,C15334,P212540,Beauty,16,0.0%,1,PayPal,2024-07-08,2024-07-13,South,No,,,16,4,4,21,Other
O100012,C14426,P245991,Grocery,11,10.0%,1,Credit Card,2024-10-13,2024-10-17,West,No,,,10,5,-4,22,Female
O100013,C15578,P205339,Toys,7,0.0%,1,Debit Card,2023-11-01,2023-11-06,North,No,,,7,3,0,56,Female
O100014,C16231,P227020,Home,39,0.0%,2,Credit Card,2025-02-24,2025-02-27,North,No,,,78,8,14,63,Male
O100015,C13444,P227609,Home,13,20.0%,4,Credit Card,2024-05-03,2024-05-06,North,No,,,40,6,5,36,Male
O100016,C13171,P205848,Sports,97,5.0%,1,PayPal,2024-08-25,2024-08-29,West,No,,,92,4,24,47,Male
O100017,C12919,P216877,Fashion,16,0.0%,3,PayPal,2024-09-12,2024-09-17,South,No,,,48,4,12,37,Male
O100018,C17831,P218405,Electronics,734,0.0%,2,Wallet,2025-06-20,2025-06-24,South,No,,,1469,11,165,58,Female
O100019,C10130,P248629,Fashion,51,0.0%,1,Credit Card,2024-10-10,2024-10-13,North,Yes,2024-10-16,Missing/Wrong item,51,6,11,56,Male
